role,session,predictor,duration_s,crse_m,final_pos_err_m,aeps_m,true_distance_m
test,S-A5,ins_dr,10.0,25.512486491425186,25.512486491425186,1.9877543774950683,249.21948423084083
test,S-A5,ins_dr,10.0,15.17230866196264,15.17230866196264,3.44645892499335,250.9612124398531
test,S-A5,ins_dr,10.0,73.73788337738927,73.73788337738927,7.3748543793909365,274.159312601527
test,S-A5,ins_dr,10.0,19.13415972841955,19.13415972841955,2.4123866182701397,246.9476443925327
test,S-A5,ins_dr,10.0,27.06728750888378,27.06728750888378,4.238167242470465,246.31472610805147
test,S-A5,ins_dr,10.0,15.383177276908052,15.383177276908052,3.2895563109734702,238.7314555921244
test,S-A5,ins_dr,10.0,43.23870879599539,43.23870879599539,4.878695801738978,253.0862353796946
test,S-A5,ins_dr,10.0,31.279115863826483,31.279115863826483,3.1316056480213477,261.9117874940089
test,S-A5,ins_dr,10.0,21.920233745737526,21.920233745737526,2.4528213829183296,253.00467082476314
test,S-A5,ins_dr,10.0,35.554001118456725,35.554001118456725,3.5608928894901575,264.331374609675
test,S-A5,ins_dr,10.0,44.568684931285276,44.568684931285276,5.447903191602904,275.8595266661154
test,S-A5,ins_dr,10.0,7.017843346709391,7.017843346709391,5.197553970650728,252.29061887334998
test,S-A5,ins_dr,10.0,3.2305380617393595,3.2305380617393595,1.4354139917312945,258.13939357652424
test,S-A5,ins_dr,10.0,15.994561440145242,15.994561440145242,3.4162821173644082,252.63898075993677
test,S-A5,ins_dr,10.0,28.885087274543718,28.885087274543718,2.9007812466142733,262.07883210461614
test,S-A5,ins_dr,10.0,19.619222973159726,19.619222973159726,3.880780952822947,258.49788172219576
test,S-A5,ins_dr,10.0,22.601479031386518,22.601479031386518,4.875023388539763,255.6719259390979
test,S-A5,ins_dr,10.0,44.471573147284566,44.471573147284566,4.127270793795203,267.43610815517513
test,S-A5,ins_dr,10.0,34.10245961867859,34.10245961867859,2.934978037685388,257.3844460074739
test,S-A5,ins_dr,10.0,27.928583101709837,27.928583101709837,3.2902146999935526,260.06872303438763
test,S-A5,ins_dr,10.0,22.442814216898448,22.442814216898448,2.255229309722634,258.73130858918296
test,S-A5,ins_dr,10.0,23.779254041794957,23.779254041794957,3.540490176752063,264.30273419034944
test,S-A5,ins_dr,10.0,25.353354472664822,25.353354472664822,3.0946832279226935,244.21076509387314
test,S-A5,ins_dr,10.0,38.27284791454263,38.27284791454263,3.860481709692485,252.17972977303123
test,S-A5,ins_dr,10.0,18.113021129479645,18.113021129479645,2.668330624171004,242.75812958846706
test,S-A5,ins_dr,10.0,54.56370345328333,54.56370345328333,6.235892973264322,275.4570076775495
test,S-A5,ins_dr,10.0,17.52225142635546,17.52225142635546,2.7686070079895675,257.0660884929107
test,S-A5,ins_dr,10.0,21.884702916890927,21.884702916890927,3.0704608673852616,254.38380819249198
test,S-A5,ins_dr,10.0,38.49039126890768,38.49039126890768,4.282914692853888,259.336221375131
test,S-A5,ins_dr,10.0,35.81053378648715,35.81053378648715,5.243965903523841,266.088915368034
test,S-A5,ins_dr,10.0,40.429252532928416,40.429252532928416,5.084888072465062,270.33005667492665
test,S-A5,ins_dr,10.0,25.37776328118899,25.37776328118899,4.251394546809535,259.3956880108765
test,S-A5,ins_dr,10.0,16.368671343520838,16.368671343520838,2.958945761936472,250.85251398023848
test,S-A5,ins_dr,10.0,45.02612929020795,45.02612929020795,3.563464438077304,253.4175563156683
test,S-A5,ins_dr,10.0,14.110536294346689,14.110536294346689,2.5545059116400544,243.5722119310222
test,S-A5,ins_dr,10.0,32.59983872650672,32.59983872650672,3.4464345003515966,160.6144220475094
test,S-A5,ins_dr,10.0,20.840325257223732,20.840325257223732,2.728301553476771,111.89303153334195
test,S-A5,ins_dr,10.0,42.03335017707697,42.03335017707697,4.055690793772788,34.146437349498505
